Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regGW_regNode_mapNode_createSite_createBin,Chrome 67.0.3396.79,,2018-06-11 09:05:24,2018-06-11 09:06:02,38.159s,FAILED
,,,,,,
Test Cases/register_node,Chrome 67.0.3396.79,,2018-06-11 09:05:24,2018-06-11 09:06:00,35.647s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 09:05:25,2018-06-11 09:05:34,8.945s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 09:05:34,2018-06-11 09:05:38,3.811s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:05:38,2018-06-11 09:05:44,6.064s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:05:44,2018-06-11 09:05:48,4.308s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:05:48,2018-06-11 09:05:52,3.633s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:05:52,2018-06-11 09:05:54,2.223s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:05:54,2018-06-11 09:05:58,3.507s,FAILED
