Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
add_remove_multiple_members,Chrome 67.0.3396.79,,2018-06-12 08:49:15,2018-06-12 08:55:51,6m - 35.383s,FAILED
,,,,,,
Test Cases/add_very_first_member,Chrome 67.0.3396.79,,2018-06-12 08:49:16,2018-06-12 08:50:06,49.872s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-12 08:49:17,2018-06-12 08:49:27,9.397s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-12 08:49:27,2018-06-12 08:49:30,3.399s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 08:49:30,2018-06-12 08:49:36,6.039s,PASSED
setEncryptedText,Chrome 67.0.3396.79,,2018-06-12 08:49:36,2018-06-12 08:49:40,3.753s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 08:49:40,2018-06-12 08:49:44,3.803s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 08:49:44,2018-06-12 08:49:46,2.200s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 08:49:46,2018-06-12 08:49:48,2.222s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 08:49:48,2018-06-12 08:49:53,4.595s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 08:49:53,2018-06-12 08:49:55,2.176s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 08:49:55,2018-06-12 08:49:57,2.195s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-12 08:49:57,2018-06-12 08:49:58,1.099s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-12 08:49:58,2018-06-12 08:50:00,2.136s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 08:50:00,2018-06-12 08:50:04,3.607s,FAILED
,,,,,,
Test Cases/add_second_multiple_members,Chrome 67.0.3396.79,,2018-06-12 08:50:06,2018-06-12 08:50:53,47.256s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-12 08:50:06,2018-06-12 08:50:14,7.123s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-12 08:50:14,2018-06-12 08:50:17,3.408s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 08:50:17,2018-06-12 08:50:23,5.965s,PASSED
setEncryptedText,Chrome 67.0.3396.79,,2018-06-12 08:50:23,2018-06-12 08:50:26,3.238s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 08:50:26,2018-06-12 08:50:30,3.702s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 08:50:30,2018-06-12 08:50:32,2.312s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 08:50:32,2018-06-12 08:50:34,2.227s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 08:50:34,2018-06-12 08:50:39,4.536s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 08:50:39,2018-06-12 08:50:41,2.150s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 08:50:41,2018-06-12 08:50:43,2.221s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-12 08:50:43,2018-06-12 08:50:44,1.070s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-12 08:50:44,2018-06-12 08:50:46,2.081s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 08:50:46,2018-06-12 08:50:49,2.831s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-12 08:50:49,2018-06-12 08:50:51,2.024s,PASSED
,,,,,,
Test Cases/add_second_multiple_members,Chrome 67.0.3396.79,,2018-06-12 08:50:53,2018-06-12 08:51:38,44.136s,PASSED
