Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
removePlenum_removeFan_deleteBin_deleteSite_unmapNode_unregNode_unregGW,Chrome 67.0.3396.62,,2018-06-06 11:36:25,2018-06-06 11:40:36,4m - 11.028s,FAILED
,,,,,,
Test Cases/delete_bin_with_cables_ws_fan_plenum,Chrome 67.0.3396.62,,2018-06-06 11:36:25,2018-06-06 11:37:44,1m - 18.917s,PASSED
openBrowser,Chrome 67.0.3396.62,,2018-06-06 11:36:26,2018-06-06 11:36:34,7.752s,PASSED
navigateToUrl,Chrome 67.0.3396.62,,2018-06-06 11:36:34,2018-06-06 11:36:37,3.365s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-06 11:36:37,2018-06-06 11:36:44,6.041s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-06 11:36:44,2018-06-06 11:36:48,4.265s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:36:48,2018-06-06 11:36:51,3.628s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:36:51,2018-06-06 11:36:54,2.292s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:36:54,2018-06-06 11:36:56,2.352s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:36:56,2018-06-06 11:36:58,2.187s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:36:58,2018-06-06 11:37:01,2.367s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:01,2018-06-06 11:37:03,2.153s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:03,2018-06-06 11:37:05,2.193s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:05,2018-06-06 11:37:07,2.159s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:07,2018-06-06 11:37:09,2.160s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:09,2018-06-06 11:37:11,2.172s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:11,2018-06-06 11:37:11,0.014s,NOT_RUN
waitForElementPresent,Chrome 67.0.3396.62,,2018-06-06 11:37:11,2018-06-06 11:37:13,1.079s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:13,2018-06-06 11:37:15,2.164s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:15,2018-06-06 11:37:17,2.189s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:17,2018-06-06 11:37:19,2.225s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-06-06 11:37:19,2018-06-06 11:37:20,1.068s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:20,2018-06-06 11:37:22,2.184s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:22,2018-06-06 11:37:25,2.163s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:25,2018-06-06 11:37:27,2.155s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-06-06 11:37:27,2018-06-06 11:37:28,1.055s,PASSED
waitForElementClickable,Chrome 67.0.3396.62,,2018-06-06 11:37:28,2018-06-06 11:37:30,2.122s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:30,2018-06-06 11:37:32,2.147s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:32,2018-06-06 11:37:34,2.134s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-06-06 11:37:34,2018-06-06 11:37:35,1.052s,PASSED
waitForElementClickable,Chrome 67.0.3396.62,,2018-06-06 11:37:35,2018-06-06 11:37:37,2.066s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:37:37,2018-06-06 11:37:40,2.844s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-06-06 11:37:40,2018-06-06 11:37:42,2.145s,PASSED
,,,,,,
Test Cases/delete_site,Chrome 67.0.3396.62,,2018-06-06 11:37:44,2018-06-06 11:38:24,39.566s,FAILED
openBrowser,Chrome 67.0.3396.62,,2018-06-06 11:37:45,2018-06-06 11:37:50,4.856s,PASSED
navigateToUrl,Chrome 67.0.3396.62,,2018-06-06 11:37:50,2018-06-06 11:37:53,3.248s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-06 11:37:53,2018-06-06 11:37:59,5.898s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-06 11:37:59,2018-06-06 11:38:03,4.274s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:38:03,2018-06-06 11:38:06,3.508s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:38:06,2018-06-06 11:38:09,2.265s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:38:09,2018-06-06 11:38:11,2.165s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:38:11,2018-06-06 11:38:13,2.189s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:38:13,2018-06-06 11:38:15,2.152s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-06-06 11:38:15,2018-06-06 11:38:16,1.050s,PASSED
waitForElementClickable,Chrome 67.0.3396.62,,2018-06-06 11:38:16,2018-06-06 11:38:18,2.051s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:38:18,2018-06-06 11:38:22,3.569s,FAILED
,,,,,,
Test Cases/unmap_node,Chrome 67.0.3396.62,,2018-06-06 11:38:24,2018-06-06 11:39:14,49.969s,PASSED
openBrowser,Chrome 67.0.3396.62,,2018-06-06 11:38:24,2018-06-06 11:38:31,7.007s,PASSED
navigateToUrl,Chrome 67.0.3396.62,,2018-06-06 11:38:31,2018-06-06 11:38:34,3.099s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-06 11:38:34,2018-06-06 11:38:49,14.810s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-06 11:38:49,2018-06-06 11:38:53,4.250s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:38:53,2018-06-06 11:38:57,3.820s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:38:57,2018-06-06 11:39:00,2.294s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:39:00,2018-06-06 11:39:02,2.195s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:39:02,2018-06-06 11:39:04,2.169s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-06-06 11:39:04,2018-06-06 11:39:05,1.053s,PASSED
waitForElementClickable,Chrome 67.0.3396.62,,2018-06-06 11:39:05,2018-06-06 11:39:07,2.061s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:39:07,2018-06-06 11:39:10,2.779s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-06-06 11:39:10,2018-06-06 11:39:12,2.016s,PASSED
,,,,,,
Test Cases/unregister_node,Chrome 67.0.3396.62,,2018-06-06 11:39:14,2018-06-06 11:39:57,43.500s,PASSED
