Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regGW_regNode_mapNode_createSite_createBin,Chrome 67.0.3396.62,,2018-06-08 14:18:13,2018-06-08 14:18:55,42.581s,FAILED
,,,,,,
Test Cases/register_node,Chrome 67.0.3396.62,,2018-06-08 14:18:13,2018-06-08 14:18:53,39.888s,FAILED
openBrowser,Chrome 67.0.3396.62,,2018-06-08 14:18:15,2018-06-08 14:18:23,8.700s,PASSED
navigateToUrl,Chrome 67.0.3396.62,,2018-06-08 14:18:23,2018-06-08 14:18:30,6.526s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-08 14:18:30,2018-06-08 14:18:36,6.268s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-08 14:18:36,2018-06-08 14:18:41,4.499s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:18:41,2018-06-08 14:18:45,4.545s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:18:45,2018-06-08 14:18:48,2.315s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:18:48,2018-06-08 14:18:51,3.599s,FAILED
