Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
add_remove_multiple_members,Chrome 67.0.3396.79,,2018-06-11 14:39:12,2018-06-11 14:45:44,6m - 32.251s,PASSED
,,,,,,
Test Cases/add_very_first_member,Chrome 67.0.3396.79,,2018-06-11 14:39:12,2018-06-11 14:40:02,49.203s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 14:39:13,2018-06-11 14:39:21,8.054s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 14:39:21,2018-06-11 14:39:24,3.226s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 14:39:24,2018-06-11 14:39:30,6.031s,PASSED
setEncryptedText,Chrome 67.0.3396.79,,2018-06-11 14:39:30,2018-06-11 14:39:34,3.674s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:39:34,2018-06-11 14:39:38,3.842s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:39:38,2018-06-11 14:39:40,2.195s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:39:40,2018-06-11 14:39:42,2.233s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 14:39:42,2018-06-11 14:39:47,4.590s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:39:47,2018-06-11 14:39:49,2.194s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:39:49,2018-06-11 14:39:51,2.141s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 14:39:51,2018-06-11 14:39:52,1.086s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 14:39:52,2018-06-11 14:39:55,2.095s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:39:55,2018-06-11 14:39:57,2.853s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-11 14:39:57,2018-06-11 14:39:59,1.979s,PASSED
,,,,,,
Test Cases/add_second_multiple_members,Chrome 67.0.3396.79,,2018-06-11 14:40:02,2018-06-11 14:40:46,44.554s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 14:40:02,2018-06-11 14:40:07,5.025s,PASSED
