Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regGW_regNode_mapNode_createSite_createBin,Chrome 67.0.3396.79,,2018-06-25 10:29:17,2018-06-25 10:33:14,3m - 56.850s,FAILED
,,,,,,
Test Cases/register_gateway,Chrome 67.0.3396.79,,2018-06-25 10:29:18,2018-06-25 10:30:06,48.749s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-25 10:29:19,2018-06-25 10:29:28,9.238s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-25 10:29:28,2018-06-25 10:29:32,4.589s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-25 10:29:32,2018-06-25 10:30:04,31.853s,FAILED
,,,,,,
Test Cases/register_node,Chrome 67.0.3396.79,,2018-06-25 10:30:06,2018-06-25 10:30:53,47.022s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-25 10:30:07,2018-06-25 10:30:15,8.059s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-25 10:30:15,2018-06-25 10:30:19,4.354s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-25 10:30:19,2018-06-25 10:30:51,31.925s,FAILED
,,,,,,
Test Cases/map_node,Chrome 67.0.3396.79,,2018-06-25 10:30:53,2018-06-25 10:31:40,46.128s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-25 10:30:54,2018-06-25 10:31:01,7.788s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-25 10:31:01,2018-06-25 10:31:06,4.285s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-25 10:31:06,2018-06-25 10:31:37,31.667s,FAILED
,,,,,,
Test Cases/create_first_site,Chrome 67.0.3396.79,,2018-06-25 10:31:40,2018-06-25 10:32:26,46.476s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-25 10:31:40,2018-06-25 10:31:48,8.195s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-25 10:31:48,2018-06-25 10:31:52,4.101s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-25 10:31:52,2018-06-25 10:32:24,31.748s,FAILED
,,,,,,
Test Cases/create_first_bin_with_single_site_ws,Chrome 67.0.3396.79,,2018-06-25 10:32:26,2018-06-25 10:33:12,45.964s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-25 10:32:26,2018-06-25 10:32:34,7.716s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-25 10:32:34,2018-06-25 10:32:38,4.120s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-25 10:32:38,2018-06-25 10:33:10,31.689s,FAILED
