Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
removePlenum_removeFan_deleteBin_deleteSite_unmapNode_unregNode_unregGW,Chrome 67.0.3396.79,,2018-06-12 11:31:02,2018-06-12 11:38:50,7m - 48.010s,FAILED
,,,,,,
Test Cases/remove_plenum_from_bin,Chrome 67.0.3396.79,,2018-06-12 11:31:02,2018-06-12 11:31:51,48.158s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-12 11:31:03,2018-06-12 11:31:12,8.355s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-12 11:31:12,2018-06-12 11:31:15,3.476s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 11:31:15,2018-06-12 11:31:21,6.083s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 11:31:21,2018-06-12 11:31:26,4.299s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:31:26,2018-06-12 11:31:29,3.708s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:31:29,2018-06-12 11:31:32,2.340s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:31:32,2018-06-12 11:31:34,2.207s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:31:34,2018-06-12 11:31:36,2.192s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:31:36,2018-06-12 11:31:38,2.197s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:31:38,2018-06-12 11:31:40,2.157s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-12 11:31:40,2018-06-12 11:31:42,1.104s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-12 11:31:42,2018-06-12 11:31:44,2.152s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:31:44,2018-06-12 11:31:47,2.791s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-12 11:31:47,2018-06-12 11:31:49,2.043s,PASSED
,,,,,,
Test Cases/stop_fan,Chrome 67.0.3396.79,,2018-06-12 11:31:51,2018-06-12 11:32:50,59.013s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-12 11:31:51,2018-06-12 11:31:56,5.050s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-12 11:31:56,2018-06-12 11:31:59,3.280s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 11:31:59,2018-06-12 11:32:05,6.039s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 11:32:05,2018-06-12 11:32:10,4.307s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:32:10,2018-06-12 11:32:13,3.631s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:32:13,2018-06-12 11:32:16,2.503s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:32:16,2018-06-12 11:32:48,31.882s,FAILED
,,,,,,
Test Cases/remove_fan_from_bin,Chrome 67.0.3396.79,,2018-06-12 11:32:50,2018-06-12 11:33:35,45.346s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-12 11:32:50,2018-06-12 11:32:57,6.815s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-12 11:32:57,2018-06-12 11:33:00,3.219s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 11:33:00,2018-06-12 11:33:06,5.991s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 11:33:06,2018-06-12 11:33:10,4.312s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:33:10,2018-06-12 11:33:14,3.749s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:33:14,2018-06-12 11:33:16,2.322s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:33:16,2018-06-12 11:33:19,2.179s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:33:19,2018-06-12 11:33:21,2.163s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:33:21,2018-06-12 11:33:23,2.204s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:33:23,2018-06-12 11:33:25,2.157s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-12 11:33:25,2018-06-12 11:33:26,1.058s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-12 11:33:26,2018-06-12 11:33:28,2.045s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:33:28,2018-06-12 11:33:31,2.802s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-12 11:33:31,2018-06-12 11:33:33,2.027s,PASSED
,,,,,,
Test Cases/delete_first_bin,Chrome 67.0.3396.79,,2018-06-12 11:33:35,2018-06-12 11:34:17,42.202s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-12 11:33:35,2018-06-12 11:33:40,4.928s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-12 11:33:40,2018-06-12 11:33:44,4.070s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 11:33:44,2018-06-12 11:33:50,6.000s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 11:33:50,2018-06-12 11:33:55,4.286s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:33:55,2018-06-12 11:33:58,3.638s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:33:58,2018-06-12 11:34:01,2.310s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:34:01,2018-06-12 11:34:03,2.346s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:34:03,2018-06-12 11:34:05,2.180s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:34:05,2018-06-12 11:34:07,2.136s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-12 11:34:07,2018-06-12 11:34:08,1.057s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-12 11:34:08,2018-06-12 11:34:10,2.054s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:34:10,2018-06-12 11:34:13,2.804s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-12 11:34:13,2018-06-12 11:34:15,2.021s,PASSED
,,,,,,
Test Cases/delete_bin_with_cables_without_ws_fan_plenum,Chrome 67.0.3396.79,,2018-06-12 11:34:17,2018-06-12 11:35:25,1m - 7.520s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-12 11:34:18,2018-06-12 11:34:22,4.917s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-12 11:34:22,2018-06-12 11:34:26,3.193s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 11:34:26,2018-06-12 11:34:32,5.950s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 11:34:32,2018-06-12 11:34:36,4.301s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:34:36,2018-06-12 11:34:40,3.713s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:34:40,2018-06-12 11:34:42,2.316s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:34:42,2018-06-12 11:34:44,2.313s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:34:44,2018-06-12 11:34:46,2.187s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:34:46,2018-06-12 11:34:49,2.136s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-12 11:34:49,2018-06-12 11:34:51,2.080s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:34:51,2018-06-12 11:34:53,2.104s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:34:53,2018-06-12 11:34:55,2.194s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:34:55,2018-06-12 11:34:57,2.384s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:34:57,2018-06-12 11:35:00,2.218s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:35:00,2018-06-12 11:35:02,2.219s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:35:02,2018-06-12 11:35:04,2.147s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:35:04,2018-06-12 11:35:06,2.244s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:35:06,2018-06-12 11:35:08,2.162s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-12 11:35:08,2018-06-12 11:35:10,2.089s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:35:10,2018-06-12 11:35:13,2.147s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:35:13,2018-06-12 11:35:15,2.124s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-12 11:35:15,2018-06-12 11:35:16,1.047s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-12 11:35:16,2018-06-12 11:35:18,2.051s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:35:18,2018-06-12 11:35:21,2.844s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-12 11:35:21,2018-06-12 11:35:23,2.038s,PASSED
,,,,,,
Test Cases/remove_weather_station_from_site,Chrome 67.0.3396.79,,2018-06-12 11:35:25,2018-06-12 11:36:08,43.220s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-12 11:35:25,2018-06-12 11:35:30,4.843s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-12 11:35:30,2018-06-12 11:35:33,3.247s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 11:35:33,2018-06-12 11:35:39,5.918s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 11:35:39,2018-06-12 11:35:43,4.284s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:35:43,2018-06-12 11:35:47,3.650s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:35:47,2018-06-12 11:35:49,2.177s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:35:49,2018-06-12 11:35:51,2.194s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:35:51,2018-06-12 11:35:54,2.191s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:35:54,2018-06-12 11:35:56,2.202s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:35:56,2018-06-12 11:35:58,2.159s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-12 11:35:58,2018-06-12 11:35:59,1.062s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-12 11:35:59,2018-06-12 11:36:01,2.041s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 11:36:01,2018-06-12 11:36:04,2.780s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-12 11:36:04,2018-06-12 11:36:06,2.050s,PASSED
,,,,,,
Test Cases/delete_site_without_ws,Chrome 67.0.3396.79,,2018-06-12 11:36:08,2018-06-12 11:36:49,40.833s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-12 11:36:08,2018-06-12 11:36:13,4.890s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-12 11:36:13,2018-06-12 11:36:16,3.195s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 11:36:16,2018-06-12 11:36:22,5.919s,PASSED
