Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regGW_regNode_mapNode_createSite_createBin,Chrome 67.0.3396.79,,2018-06-11 09:07:14,2018-06-11 09:15:44,8m - 29.850s,PASSED
,,,,,,
Test Cases/register_gateway,Chrome 67.0.3396.79,,2018-06-11 09:07:15,2018-06-11 09:08:16,1m - 1.211s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 09:07:15,2018-06-11 09:07:24,8.083s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 09:07:24,2018-06-11 09:07:27,3.534s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:07:27,2018-06-11 09:07:33,5.991s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:07:33,2018-06-11 09:07:37,4.293s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:07:37,2018-06-11 09:07:41,3.623s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:07:41,2018-06-11 09:07:43,2.216s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 09:07:43,2018-06-11 09:07:44,1.088s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-06-11 09:07:44,2018-06-11 09:07:46,2.080s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 09:07:46,2018-06-11 09:07:49,2.110s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:07:49,2018-06-11 09:07:51,2.286s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:07:51,2018-06-11 09:07:55,4.246s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:07:55,2018-06-11 09:07:59,4.231s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:07:59,2018-06-11 09:08:04,4.298s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:08:04,2018-06-11 09:08:06,2.197s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 09:08:06,2018-06-11 09:08:07,1.074s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 09:08:07,2018-06-11 09:08:09,2.050s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:08:09,2018-06-11 09:08:12,2.890s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-11 09:08:12,2018-06-11 09:08:14,2.001s,PASSED
,,,,,,
Test Cases/register_node,Chrome 67.0.3396.79,,2018-06-11 09:08:16,2018-06-11 09:09:10,54.127s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 09:08:16,2018-06-11 09:08:21,4.785s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 09:08:21,2018-06-11 09:08:24,3.559s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:08:24,2018-06-11 09:08:30,6.014s,PASSED
