Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regGW_regNode_mapNode_createSite_createBin,Chrome 67.0.3396.62,,2018-06-06 11:24:55,2018-06-06 11:28:16,3m - 21.363s,PASSED
,,,,,,
Test Cases/create_second_bin_with_cables_single_site_without_ws_fan_plenum - Copy,Chrome 67.0.3396.62,,2018-06-06 11:24:55,2018-06-06 11:26:34,1m - 38.581s,PASSED
openBrowser,Chrome 67.0.3396.62,,2018-06-06 11:24:56,2018-06-06 11:25:03,7.170s,PASSED
navigateToUrl,Chrome 67.0.3396.62,,2018-06-06 11:25:03,2018-06-06 11:25:06,3.179s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-06 11:25:06,2018-06-06 11:25:12,6.048s,PASSED
setEncryptedText,Chrome 67.0.3396.62,,2018-06-06 11:25:12,2018-06-06 11:25:16,3.704s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:25:16,2018-06-06 11:25:20,3.566s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:25:20,2018-06-06 11:25:22,2.295s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:25:22,2018-06-06 11:25:24,2.161s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:25:24,2018-06-06 11:25:27,2.355s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-06 11:25:27,2018-06-06 11:25:31,4.334s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:25:31,2018-06-06 11:25:33,2.325s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-06-06 11:25:33,2018-06-06 11:25:34,1.099s,PASSED
waitForElementClickable,Chrome 67.0.3396.62,,2018-06-06 11:25:34,2018-06-06 11:25:36,2.104s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:25:36,2018-06-06 11:25:39,2.191s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:25:39,2018-06-06 11:25:41,2.255s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:25:41,2018-06-06 11:25:43,2.154s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:25:43,2018-06-06 11:25:45,2.210s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:25:45,2018-06-06 11:25:48,2.278s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-06 11:25:48,2018-06-06 11:25:52,4.288s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-06 11:25:52,2018-06-06 11:25:56,4.254s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:25:56,2018-06-06 11:25:56,0.021s,NOT_RUN
setText,Chrome 67.0.3396.62,,2018-06-06 11:25:56,2018-06-06 11:25:56,0.027s,NOT_RUN
click,Chrome 67.0.3396.62,,2018-06-06 11:25:56,2018-06-06 11:25:58,2.226s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:25:58,2018-06-06 11:26:01,2.183s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:26:01,2018-06-06 11:26:03,2.261s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:26:03,2018-06-06 11:26:05,2.162s,PASSED
click,Chrome 67.0.3396.62,,2018-06-06 11:26:05,2018-06-06 11:26:07,2.176s,PASSED
