Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
removePlenum_removeFan_deleteBin_deleteSite_unmapNode_unregNode_unregGW,Chrome 67.0.3396.62,,2018-06-08 14:09:41,2018-06-08 14:17:03,7m - 22.210s,PASSED
,,,,,,
Test Cases/remove_plenum_from_bin,Chrome 67.0.3396.62,,2018-06-08 14:09:42,2018-06-08 14:10:34,52.207s,PASSED
openBrowser,Chrome 67.0.3396.62,,2018-06-08 14:09:43,2018-06-08 14:09:51,8.267s,PASSED
navigateToUrl,Chrome 67.0.3396.62,,2018-06-08 14:09:51,2018-06-08 14:09:55,4.262s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-08 14:09:55,2018-06-08 14:10:02,6.472s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-08 14:10:02,2018-06-08 14:10:06,4.488s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:10:06,2018-06-08 14:10:11,4.416s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:10:11,2018-06-08 14:10:13,2.442s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:10:13,2018-06-08 14:10:16,2.610s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:10:16,2018-06-08 14:10:18,2.270s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:10:18,2018-06-08 14:10:21,2.331s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:10:21,2018-06-08 14:10:23,2.265s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-06-08 14:10:23,2018-06-08 14:10:24,1.145s,PASSED
waitForElementClickable,Chrome 67.0.3396.62,,2018-06-08 14:10:24,2018-06-08 14:10:26,2.146s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:10:26,2018-06-08 14:10:30,3.431s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-06-08 14:10:30,2018-06-08 14:10:32,2.146s,PASSED
,,,,,,
Test Cases/remove_fan_from_bin,Chrome 67.0.3396.62,,2018-06-08 14:10:34,2018-06-08 14:11:22,47.828s,PASSED
openBrowser,Chrome 67.0.3396.62,,2018-06-08 14:10:34,2018-06-08 14:10:40,5.554s,PASSED
navigateToUrl,Chrome 67.0.3396.62,,2018-06-08 14:10:40,2018-06-08 14:10:44,4.063s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-08 14:10:44,2018-06-08 14:10:50,6.451s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-08 14:10:50,2018-06-08 14:10:55,4.441s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:10:55,2018-06-08 14:10:59,4.188s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:10:59,2018-06-08 14:11:01,2.451s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:11:01,2018-06-08 14:11:04,2.604s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:11:04,2018-06-08 14:11:06,2.301s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:11:06,2018-06-08 14:11:09,2.312s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:11:09,2018-06-08 14:11:11,2.286s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-06-08 14:11:11,2018-06-08 14:11:12,1.081s,PASSED
waitForElementClickable,Chrome 67.0.3396.62,,2018-06-08 14:11:12,2018-06-08 14:11:14,2.082s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:11:14,2018-06-08 14:11:17,3.259s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-06-08 14:11:17,2018-06-08 14:11:20,2.168s,PASSED
,,,,,,
Test Cases/delete_first_bin,Chrome 67.0.3396.62,,2018-06-08 14:11:22,2018-06-08 14:12:07,45.367s,PASSED
openBrowser,Chrome 67.0.3396.62,,2018-06-08 14:11:22,2018-06-08 14:11:28,5.490s,PASSED
navigateToUrl,Chrome 67.0.3396.62,,2018-06-08 14:11:28,2018-06-08 14:11:32,4.180s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-08 14:11:32,2018-06-08 14:11:38,6.316s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-08 14:11:38,2018-06-08 14:11:43,4.398s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:11:43,2018-06-08 14:11:47,4.405s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:11:47,2018-06-08 14:11:49,2.515s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:11:49,2018-06-08 14:11:52,2.536s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:11:52,2018-06-08 14:11:54,2.374s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:11:54,2018-06-08 14:11:57,2.186s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-06-08 14:11:57,2018-06-08 14:11:58,1.078s,PASSED
waitForElementClickable,Chrome 67.0.3396.62,,2018-06-08 14:11:58,2018-06-08 14:12:00,2.086s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:12:00,2018-06-08 14:12:03,3.092s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-06-08 14:12:03,2018-06-08 14:12:05,2.101s,PASSED
,,,,,,
Test Cases/delete_bin_with_cables_without_ws_fan_plenum,Chrome 67.0.3396.62,,2018-06-08 14:12:07,2018-06-08 14:13:19,1m - 11.756s,PASSED
openBrowser,Chrome 67.0.3396.62,,2018-06-08 14:12:08,2018-06-08 14:12:13,5.319s,PASSED
navigateToUrl,Chrome 67.0.3396.62,,2018-06-08 14:12:13,2018-06-08 14:12:17,4.075s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-08 14:12:17,2018-06-08 14:12:23,6.305s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-08 14:12:23,2018-06-08 14:12:28,4.458s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:12:28,2018-06-08 14:12:32,4.114s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:12:32,2018-06-08 14:12:34,2.395s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:12:34,2018-06-08 14:12:37,2.647s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:12:37,2018-06-08 14:12:39,2.233s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:12:39,2018-06-08 14:12:41,2.196s,PASSED
waitForElementClickable,Chrome 67.0.3396.62,,2018-06-08 14:12:41,2018-06-08 14:12:43,2.094s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:12:43,2018-06-08 14:12:46,2.187s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:12:46,2018-06-08 14:12:48,2.374s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:12:48,2018-06-08 14:12:50,2.555s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:12:50,2018-06-08 14:12:53,2.286s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:12:53,2018-06-08 14:12:55,2.275s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:12:55,2018-06-08 14:12:57,2.313s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:12:57,2018-06-08 14:13:00,2.299s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:13:00,2018-06-08 14:13:02,2.318s,PASSED
waitForElementClickable,Chrome 67.0.3396.62,,2018-06-08 14:13:02,2018-06-08 14:13:04,2.077s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:13:04,2018-06-08 14:13:06,2.180s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:13:06,2018-06-08 14:13:08,2.153s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-06-08 14:13:08,2018-06-08 14:13:09,1.071s,PASSED
waitForElementClickable,Chrome 67.0.3396.62,,2018-06-08 14:13:09,2018-06-08 14:13:12,2.097s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:13:12,2018-06-08 14:13:15,3.072s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-06-08 14:13:15,2018-06-08 14:13:17,2.131s,PASSED
,,,,,,
Test Cases/remove_weather_station_from_site,Chrome 67.0.3396.62,,2018-06-08 14:13:19,2018-06-08 14:14:07,48.068s,PASSED
openBrowser,Chrome 67.0.3396.62,,2018-06-08 14:13:19,2018-06-08 14:13:25,5.322s,PASSED
navigateToUrl,Chrome 67.0.3396.62,,2018-06-08 14:13:25,2018-06-08 14:13:30,5.336s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-08 14:13:30,2018-06-08 14:13:36,6.280s,PASSED
setText,Chrome 67.0.3396.62,,2018-06-08 14:13:36,2018-06-08 14:13:41,4.484s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:13:41,2018-06-08 14:13:45,4.322s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:13:45,2018-06-08 14:13:47,2.283s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:13:47,2018-06-08 14:13:50,2.235s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:13:50,2018-06-08 14:13:52,2.349s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:13:52,2018-06-08 14:13:54,2.323s,PASSED
click,Chrome 67.0.3396.62,,2018-06-08 14:13:54,2018-06-08 14:13:56,2.224s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-06-08 14:13:56,2018-06-08 14:13:58,1.077s,PASSED
waitForElementClickable,Chrome 67.0.3396.62,,2018-06-08 14:13:58,2018-06-08 14:14:00,2.089s,PASSED
